unix,date,symbol,open,high,low,close,Volume EUR,Volume BTC
1630800000000,2021-09-05 00:00:00,BTC/EUR,41967.0,43785.2745,41630.0,43563.0,11074047.3646881,254.2076387
1630713600000,2021-09-04 00:00:00,BTC/EUR,42100.0,42532.0,41572.0,41990.0,2959827.9364121,70.48887679
1630627200000,2021-09-03 00:00:00,BTC/EUR,41491.0,43020.0,40687.0,42121.0,21212478.06942381,503.60813061
1630540800000,2021-09-02 00:00:00,BTC/EUR,41225.0,42510.0,41060.0,41492.0,11315153.70189644,272.70687607
1630454400000,2021-09-01 00:00:00,BTC/EUR,39912.0,41483.0,39474.0,41234.0,17893758.347279422,433.95640363
1630368000000,2021-08-31 00:00:00,BTC/EUR,39838.0,40805.0,39594.0,39913.0,12508200.44424926,313.38662702
1630281600000,2021-08-30 00:00:00,BTC/EUR,41354.0,41466.0,39755.0,39871.998641,10188095.571590474,255.52006217
1630195200000,2021-08-29 00:00:00,BTC/EUR,41469.0,42092.0,40491.0,41361.993475,9070809.683144558,219.30301035
1630108800000,2021-08-28 00:00:00,BTC/EUR,41614.0,41804.0,41021.0,41468.0,5854300.057001481,141.17633011
1630022400000,2021-08-27 00:00:00,BTC/EUR,39870.0,41677.0,39448.0,41613.0,22290860.49137376,535.67059552
1629936000000,2021-08-26 00:00:00,BTC/EUR,41619.0,41967.0,39349.0,39834.0,19826871.648562618,497.73740143
1629849600000,2021-08-25 00:00:00,BTC/EUR,40580.0,41882.238,40109.0,41613.0,15868709.329799041,381.34019008
1629763200000,2021-08-24 00:00:00,BTC/EUR,42144.0,42479.0,40457.0,40596.01743,13178972.562569866,324.63708011
1629676800000,2021-08-23 00:00:00,BTC/EUR,42115.0,43129.0,41755.0,42167.0,16506346.46427746,391.45176238
1629590400000,2021-08-22 00:00:00,BTC/EUR,41755.0,42317.0,41101.0,42116.0,9332741.5813438,221.59610555
1629504000000,2021-08-21 00:00:00,BTC/EUR,42165.0,42564.32018309,41224.0,41745.0,9543537.7644453,228.61510994
1629417600000,2021-08-20 00:00:00,BTC/EUR,40061.0,42220.0,39984.29521025,42161.0,29914109.8258961,709.5208801
1629331200000,2021-08-19 00:00:00,BTC/EUR,38237.0,40298.0,37671.0,40060.0,15461837.5757346,385.96698891
1629244800000,2021-08-18 00:00:00,BTC/EUR,38157.0,39302.0,37792.0,38201.0,13193521.64933876,345.37110676
1629158400000,2021-08-17 00:00:00,BTC/EUR,38994.0,40074.0,37944.0,38153.542692,14371501.142641608,376.67540492
1629072000000,2021-08-16 00:00:00,BTC/EUR,39878.0,40742.0,38792.0,39103.0,15086382.84065141,385.81139147
1628985600000,2021-08-15 00:00:00,BTC/EUR,39945.0,40155.0,38547.0,39907.120202,7679799.347855789,192.44183266
1628899200000,2021-08-14 00:00:00,BTC/EUR,40558.0,40809.0,38940.0,39891.0,10122640.839787109,253.75751021
1628812800000,2021-08-13 00:00:00,BTC/EUR,37870.96227,40666.0,37724.0,40550.160015,16219194.324285148,399.97855294
1628726400000,2021-08-12 00:00:00,BTC/EUR,38769.10461891,39341.0,37292.0,37869.258098,12064226.195488973,318.57572082
1628640000000,2021-08-11 00:00:00,BTC/EUR,38915.0,39811.0,38676.0,38770.0,10348023.0246927,266.90799651
1628553600000,2021-08-10 00:00:00,BTC/EUR,39426.0,39782.0,38084.0,38885.488776,17583064.289845362,452.17547325
1628467200000,2021-08-09 00:00:00,BTC/EUR,37284.0,39547.0,36414.0,39511.0,24792160.04966337,627.47488167
1628380800000,2021-08-08 00:00:00,BTC/EUR,37872.797762,38468.7445,36810.9754,37260.0632724,17358808.56295023,465.88242312
1628294400000,2021-08-07 00:00:00,BTC/EUR,36431.0,37999.0,36029.0,37888.950384,21451016.79164042,566.15494951
1628208000000,2021-08-06 00:00:00,BTC/EUR,34601.0,36890.0,33751.2105,36430.0,15614501.480800701,428.61656549
